x p lik w1 w3
1.000000 0.664904 0.952574 1.266742 1.388636
1.010000 0.664535 0.953911 1.267816 1.393717
1.020000 0.663428 0.955212 1.267431 1.397097
1.030000 0.661588 0.956478 1.265590 1.398769
1.040000 0.659020 0.957710 1.262302 1.398730
1.050000 0.655733 0.958909 1.257578 1.396986
1.060000 0.651738 0.960075 1.251436 1.393545
1.070000 0.647048 0.961209 1.243898 1.388426
1.080000 0.641678 0.962312 1.234991 1.381651
1.090000 0.635646 0.963385 1.224746 1.373247
1.100000 0.628972 0.964429 1.213199 1.363248
1.110000 0.621677 0.965444 1.200390 1.351695
1.120000 0.613784 0.966431 1.186360 1.338630
1.130000 0.605318 0.967391 1.171159 1.324104
1.140000 0.596306 0.968324 1.154836 1.308169
1.150000 0.586776 0.969231 1.137444 1.290884
1.160000 0.576756 0.970113 1.119040 1.272310
1.170000 0.566279 0.970971 1.099683 1.252513
1.180000 0.555374 0.971805 1.079432 1.231561
1.190000 0.544075 0.972615 1.058353 1.209525
1.200000 0.532413 0.973403 1.036507 1.186479
1.210000 0.520423 0.974169 1.013962 1.162499
1.220000 0.508138 0.974913 0.990783 1.137660
1.230000 0.495592 0.975636 0.967037 1.112043
1.240000 0.482819 0.976339 0.942792 1.085726
1.250000 0.469853 0.977023 0.918116 1.058788
1.260000 0.456727 0.977687 0.893074 1.031310
1.270000 0.443475 0.978332 0.867733 1.003370
1.280000 0.430130 0.978959 0.842160 0.975047
1.290000 0.416722 0.979568 0.816417 0.946419
1.300000 0.403285 0.980160 0.790568 0.917562
1.310000 0.389847 0.980735 0.764674 0.888550
1.320000 0.376438 0.981293 0.738794 0.859456
1.330000 0.363087 0.981836 0.712985 0.830350
1.340000 0.349820 0.982364 0.687303 0.801300
1.350000 0.336664 0.982876 0.661800 0.772372
1.360000 0.323643 0.983374 0.636526 0.743628
1.370000 0.310780 0.983857 0.611528 0.715127
1.380000 0.298097 0.984327 0.586851 0.686925
1.390000 0.285614 0.984783 0.562537 0.659075
1.400000 0.273350 0.985226 0.538624 0.631626
1.410000 0.261322 0.985656 0.515148 0.604624
1.420000 0.249546 0.986074 0.492142 0.578113
1.430000 0.238036 0.986480 0.469636 0.552129
1.440000 0.226804 0.986875 0.447655 0.526708
1.450000 0.215863 0.987258 0.426225 0.501883
1.460000 0.205221 0.987630 0.405365 0.477680
1.470000 0.194887 0.987991 0.385094 0.454124
1.480000 0.184868 0.988342 0.365426 0.431237
1.490000 0.175169 0.988682 0.346374 0.409036
1.500000 0.165795 0.989013 0.327948 0.387535
1.510000 0.156748 0.989334 0.310154 0.366746
1.520000 0.148031 0.989646 0.292997 0.346677
1.530000 0.139643 0.989949 0.276479 0.327333
1.540000 0.131584 0.990243 0.260600 0.308717
1.550000 0.123852 0.990529 0.245358 0.290829
1.560000 0.116445 0.990806 0.230749 0.273666
1.570000 0.109360 0.991076 0.216768 0.257224
1.580000 0.102591 0.991337 0.203405 0.241495
1.590000 0.096135 0.991591 0.190653 0.226471
1.600000 0.089985 0.991837 0.178501 0.212141
1.610000 0.084135 0.992077 0.166937 0.198493
1.620000 0.078578 0.992309 0.155947 0.185512
1.630000 0.073306 0.992535 0.145518 0.173185
1.640000 0.068312 0.992754 0.135634 0.161494
1.650000 0.063588 0.992966 0.126281 0.150422
1.660000 0.059124 0.993173 0.117442 0.139950
1.670000 0.054913 0.993373 0.109099 0.130061
1.680000 0.050945 0.993568 0.101235 0.120734
1.690000 0.047212 0.993757 0.093834 0.111950
1.700000 0.043703 0.993940 0.086877 0.103688
1.710000 0.040410 0.994118 0.080346 0.095927
1.720000 0.037324 0.994291 0.074222 0.088647
1.730000 0.034435 0.994459 0.068489 0.081828
1.740000 0.031735 0.994622 0.063129 0.075448
1.750000 0.029214 0.994780 0.058123 0.069487
1.760000 0.026863 0.994933 0.053454 0.063925
1.770000 0.024674 0.995082 0.049106 0.058742
1.780000 0.022638 0.995227 0.045061 0.053919
1.790000 0.020747 0.995367 0.041303 0.049436
1.800000 0.018993 0.995504 0.037816 0.045275
1.810000 0.017368 0.995636 0.034585 0.041418
1.820000 0.015865 0.995764 0.031595 0.037847
1.830000 0.014475 0.995889 0.028831 0.034545
1.840000 0.013192 0.996010 0.026280 0.031496
1.850000 0.012010 0.996128 0.023927 0.028683
1.860000 0.010922 0.996242 0.021761 0.026093
1.870000 0.009921 0.996352 0.019769 0.023710
1.880000 0.009002 0.996460 0.017940 0.021520
1.890000 0.008159 0.996564 0.016261 0.019511
1.900000 0.007386 0.996665 0.014724 0.017669
1.910000 0.006680 0.996763 0.013316 0.015984
1.920000 0.006034 0.996859 0.012030 0.014443
1.930000 0.005445 0.996951 0.010856 0.013036
1.940000 0.004907 0.997041 0.009786 0.011752
1.950000 0.004418 0.997128 0.008811 0.010584
1.960000 0.003973 0.997213 0.007925 0.009521
1.970000 0.003569 0.997295 0.007120 0.008555
1.980000 0.003203 0.997375 0.006389 0.007678
1.990000 0.002871 0.997452 0.005727 0.006884
2.000000 0.002570 0.997527 0.005128 0.006165
2.010000 0.002299 0.997600 0.004587 0.005515
2.020000 0.002054 0.997671 0.004098 0.004928
2.030000 0.001833 0.997740 0.003657 0.004398
2.040000 0.001634 0.997806 0.003260 0.003921
2.050000 0.001454 0.997871 0.002903 0.003492
2.060000 0.001294 0.997934 0.002582 0.003106
2.070000 0.001149 0.997995 0.002294 0.002760
2.080000 0.001020 0.998054 0.002036 0.002450
2.090000 0.000904 0.998111 0.001805 0.002172
2.100000 0.000800 0.998167 0.001598 0.001923
2.110000 0.000708 0.998221 0.001413 0.001701
2.120000 0.000625 0.998274 0.001249 0.001503
2.130000 0.000552 0.998325 0.001102 0.001327
2.140000 0.000487 0.998374 0.000972 0.001170
2.150000 0.000428 0.998422 0.000856 0.001030
2.160000 0.000377 0.998469 0.000753 0.000906
2.170000 0.000331 0.998514 0.000661 0.000796
2.180000 0.000291 0.998558 0.000580 0.000699
2.190000 0.000255 0.998600 0.000509 0.000613
2.200000 0.000223 0.998641 0.000445 0.000537
2.210000 0.000195 0.998682 0.000390 0.000470
2.220000 0.000170 0.998720 0.000340 0.000410
2.230000 0.000149 0.998758 0.000297 0.000358
2.240000 0.000130 0.998795 0.000259 0.000312
2.250000 0.000113 0.998830 0.000226 0.000272
2.260000 0.000098 0.998865 0.000196 0.000237
2.270000 0.000085 0.998899 0.000171 0.000206
2.280000 0.000074 0.998931 0.000148 0.000178
2.290000 0.000064 0.998963 0.000128 0.000155
2.300000 0.000056 0.998993 0.000111 0.000134
2.310000 0.000048 0.999023 0.000096 0.000116
2.320000 0.000042 0.999052 0.000083 0.000100
2.330000 0.000036 0.999080 0.000072 0.000086
2.340000 0.000031 0.999107 0.000062 0.000075
2.350000 0.000027 0.999133 0.000053 0.000064
2.360000 0.000023 0.999159 0.000046 0.000055
2.370000 0.000020 0.999184 0.000039 0.000047
2.380000 0.000017 0.999208 0.000034 0.000041
2.390000 0.000014 0.999231 0.000029 0.000035
2.400000 0.000012 0.999254 0.000025 0.000030
