x y z
0.117188 0.414062 0.068665
0.117188 0.429688 0.066833
0.117188 0.445312 0.065002
0.117188 0.460938 0.063171
0.117188 0.476562 0.061340
0.117188 0.492188 0.059509
0.117188 0.507812 0.057678
0.117188 0.523438 0.055847
0.117188 0.539062 0.054016
0.117188 0.554688 0.052185
0.117188 0.570312 0.050354
0.117188 0.585938 0.048523
0.117188 0.601562 0.046692
0.117188 0.617188 0.044861
0.117188 0.632812 0.043030
0.117188 0.648438 0.041199
0.117188 0.664062 0.039368
0.117188 0.679688 0.037537
0.117188 0.695312 0.035706
0.117188 0.710938 0.033875
0.117188 0.726562 0.032043
0.117188 0.742188 0.030212
0.117188 0.757812 0.028381
0.117188 0.773438 0.026550
0.117188 0.789062 0.024719
0.117188 0.804688 0.022888
0.117188 0.820312 0.021057
0.117188 0.835938 0.019226
0.117188 0.851562 0.017395
0.117188 0.867188 0.015564
0.117188 0.882812 0.013733
0.117188 0.898438 0.011902
0.117188 0.914062 0.010071
0.117188 0.929688 0.008240
0.117188 0.945312 0.006409
0.117188 0.960938 0.004578
0.117188 0.976562 0.002747
0.117188 0.992188 0.000916
0.132812 0.007812 0.006775
0.132812 0.023438 0.020325
0.132812 0.039062 0.033875
0.132812 0.054688 0.047424
0.132812 0.070312 0.060974
0.132812 0.085938 0.074524
0.132812 0.101562 0.088074
0.132812 0.117188 0.101624
0.132812 0.132812 0.115173
0.132812 0.148438 0.113098
0.132812 0.164062 0.111023
0.132812 0.179688 0.108948
0.132812 0.195312 0.106873
0.132812 0.210938 0.104797
0.132812 0.226562 0.102722
0.132812 0.242188 0.100647
0.132812 0.257812 0.098572
0.132812 0.273438 0.096497
0.132812 0.289062 0.094421
0.132812 0.304688 0.092346
0.132812 0.320312 0.090271
0.132812 0.335938 0.088196
0.132812 0.351562 0.086121
0.132812 0.367188 0.084045
0.132812 0.382812 0.081970
0.132812 0.398438 0.079895
0.132812 0.414062 0.077820
0.132812 0.429688 0.075745
0.132812 0.445312 0.073669
0.132812 0.460938 0.071594
0.132812 0.476562 0.069519
0.132812 0.492188 0.067444
0.132812 0.507812 0.065369
0.132812 0.523438 0.063293
0.132812 0.539062 0.061218
0.132812 0.554688 0.059143
0.132812 0.570312 0.057068
0.132812 0.585938 0.054993
0.132812 0.601562 0.052917
0.132812 0.617188 0.050842
0.132812 0.632812 0.048767
0.132812 0.648438 0.046692
0.132812 0.664062 0.044617
0.132812 0.679688 0.042542
0.132812 0.695312 0.040466
0.132812 0.710938 0.038391
0.132812 0.726562 0.036316
0.132812 0.742188 0.034241
0.132812 0.757812 0.032166
0.132812 0.773438 0.030090
0.132812 0.789062 0.028015
0.132812 0.804688 0.025940
0.132812 0.820312 0.023865
0.132812 0.835938 0.021790
0.132812 0.851562 0.019714
0.132812 0.867188 0.017639
0.132812 0.882812 0.015564
0.132812 0.898438 0.013489
0.132812 0.914062 0.011414
0.132812 0.929688 0.009338
0.132812 0.945312 0.007263
0.132812 0.960938 0.005188
0.132812 0.976562 0.003113
0.132812 0.992188 0.001038
0.148438 0.007812 0.006653
0.148438 0.023438 0.019958
0.148438 0.039062 0.033264
0.148438 0.054688 0.046570
0.148438 0.070312 0.059875
0.148438 0.085938 0.073181
0.148438 0.101562 0.086487
0.148438 0.117188 0.099792
0.148438 0.132812 0.113098
0.148438 0.148438 0.126404
0.148438 0.164062 0.124084
0.148438 0.179688 0.121765
0.148438 0.195312 0.119446
0.148438 0.210938 0.117126
0.148438 0.226562 0.114807
0.148438 0.242188 0.112488
0.148438 0.257812 0.110168
0.148438 0.273438 0.107849
0.148438 0.289062 0.105530
0.148438 0.304688 0.103210
0.148438 0.320312 0.100891
0.148438 0.335938 0.098572
0.148438 0.351562 0.096252
0.148438 0.367188 0.093933
0.148438 0.382812 0.091614
0.148438 0.398438 0.089294
0.148438 0.414062 0.086975
0.148438 0.429688 0.084656
0.148438 0.445312 0.082336
0.148438 0.460938 0.080017
0.148438 0.476562 0.077698
0.148438 0.492188 0.075378
0.148438 0.507812 0.073059
0.148438 0.523438 0.070740
0.148438 0.539062 0.068420
0.148438 0.554688 0.066101
0.148438 0.570312 0.063782
0.148438 0.585938 0.061462
0.148438 0.601562 0.059143
0.148438 0.617188 0.056824
0.148438 0.632812 0.054504
0.148438 0.648438 0.052185
0.148438 0.664062 0.049866
0.148438 0.679688 0.047546
0.148438 0.695312 0.045227
0.148438 0.710938 0.042908
0.148438 0.726562 0.040588
0.148438 0.742188 0.038269
0.148438 0.757812 0.035950
0.148438 0.773438 0.033630
0.148438 0.789062 0.031311
0.148438 0.804688 0.028992
0.148438 0.820312 0.026672
0.148438 0.835938 0.024353
0.148438 0.851562 0.022034
0.148438 0.867188 0.019714
0.148438 0.882812 0.017395
0.148438 0.898438 0.015076
0.148438 0.914062 0.012756
0.148438 0.929688 0.010437
0.148438 0.945312 0.008118
0.148438 0.960938 0.005798
0.148438 0.976562 0.003479
0.148438 0.992188 0.001160
0.164062 0.007812 0.006531
