x v
0.94360352 0.25831712
0.94555664 0.24682675
0.94750977 0.23546103
0.94946289 0.2242223
0.95141602 0.21310363
0.95336914 0.20209093
0.95532227 0.19116645
0.95727539 0.18031298
0.95922852 0.16951826
0.96118164 0.15877898
0.96313477 0.14810372
0.96508789 0.13751443
0.96704102 0.12704617
0.96899414 0.11674523
0.97094727 0.10666569
0.97290039 0.096864915
0.97485352 0.087398656
0.97680664 0.078316104
0.97875977 0.069655685
0.98071289 0.061441924
0.98266602 0.053683678
0.98461914 0.046373827
0.98657227 0.039490276
0.98852539 0.032997994
0.99047852 0.026851692
0.99243164 0.020998698
0.99438477 0.015381617
0.99633789 0.0099404984
0.99829102 0.0046143155
